Brands,Link,download_flag
Adamo,https://www.fichacompleta.com.br/carros/adamo/,False
Agrale,https://www.fichacompleta.com.br/carros/agrale/,False
Alfa Romeo,https://www.fichacompleta.com.br/carros/alfa-romeo/,False
Ariel,https://www.fichacompleta.com.br/carros/ariel/,False
Asia,https://www.fichacompleta.com.br/carros/asia/,True
Aston Martin,https://www.fichacompleta.com.br/carros/aston-martin/,False
Audi,https://www.fichacompleta.com.br/carros/audi/,False
Avallone,https://www.fichacompleta.com.br/carros/avallone/,False
Bentley,https://www.fichacompleta.com.br/carros/bentley/,False
Bianco,https://www.fichacompleta.com.br/carros/bianco/,False
Bmw,https://www.fichacompleta.com.br/carros/bmw/,False
Brm,https://www.fichacompleta.com.br/carros/brm/,True
Bugatti,https://www.fichacompleta.com.br/carros/bugatti/,False
Byd,https://www.fichacompleta.com.br/carros/byd/,False
Cadillac,https://www.fichacompleta.com.br/carros/cadillac/,False
Caterham,https://www.fichacompleta.com.br/carros/caterham/,False
Cbt,https://www.fichacompleta.com.br/carros/cbt/,False
Chamonix,https://www.fichacompleta.com.br/carros/chamonix/,False
Chana,https://www.fichacompleta.com.br/carros/chana/,False
Changan,https://www.fichacompleta.com.br/carros/changan/,False
Chery,https://www.fichacompleta.com.br/carros/chery/,False
Chevrolet,https://www.fichacompleta.com.br/carros/chevrolet/,False
Chrysler,https://www.fichacompleta.com.br/carros/chrysler/,False
Citroen,https://www.fichacompleta.com.br/carros/citroen/,False
Cross Lander,https://www.fichacompleta.com.br/carros/cross-lander/,True
Daewoo,https://www.fichacompleta.com.br/carros/daewoo/,False
Daihatsu,https://www.fichacompleta.com.br/carros/daihatsu/,True
Delorean,https://www.fichacompleta.com.br/carros/delorean/,True
Dodge,https://www.fichacompleta.com.br/carros/dodge/,False
Effa,https://www.fichacompleta.com.br/carros/effa/,False
Engesa,https://www.fichacompleta.com.br/carros/engesa/,True
Enseada,https://www.fichacompleta.com.br/carros/enseada/,False
Envemo,https://www.fichacompleta.com.br/carros/envemo/,False
Farus,https://www.fichacompleta.com.br/carros/farus/,False
Ferrari,https://www.fichacompleta.com.br/carros/ferrari/,False
Fiat,https://www.fichacompleta.com.br/carros/fiat/,False
Ford,https://www.fichacompleta.com.br/carros/ford/,False
Geely,https://www.fichacompleta.com.br/carros/geely/,False
Gmc,https://www.fichacompleta.com.br/carros/gmc/,False
Gurgel,https://www.fichacompleta.com.br/carros/gurgel/,False
Gwm,https://www.fichacompleta.com.br/carros/gwm/,False
Hafei,https://www.fichacompleta.com.br/carros/hafei/,False
Hennessey,https://www.fichacompleta.com.br/carros/hennessey/,False
Hofstetter,https://www.fichacompleta.com.br/carros/hofstetter/,False
Honda,https://www.fichacompleta.com.br/carros/honda/,False
Hummer,https://www.fichacompleta.com.br/carros/hummer/,False
Hyundai,https://www.fichacompleta.com.br/carros/hyundai/,False
Infiniti,https://www.fichacompleta.com.br/carros/infiniti/,False
Iveco,https://www.fichacompleta.com.br/carros/iveco/,False
Jac,https://www.fichacompleta.com.br/carros/jac/,False
Jaguar,https://www.fichacompleta.com.br/carros/jaguar/,False
Jeep,https://www.fichacompleta.com.br/carros/jeep/,False
Jinbei,https://www.fichacompleta.com.br/carros/jinbei/,False
Jpx,https://www.fichacompleta.com.br/carros/jpx/,False
Kia,https://www.fichacompleta.com.br/carros/kia/,False
Koenigsegg,https://www.fichacompleta.com.br/carros/koenigsegg/,False
Ktm,https://www.fichacompleta.com.br/carros/ktm/,False
Lada,https://www.fichacompleta.com.br/carros/lada/,False
Lafer,https://www.fichacompleta.com.br/carros/lafer/,False
Lamborghini,https://www.fichacompleta.com.br/carros/lamborghini/,False
Land Rover,https://www.fichacompleta.com.br/carros/land-rover/,False
Lexus,https://www.fichacompleta.com.br/carros/lexus/,False
Lifan,https://www.fichacompleta.com.br/carros/lifan/,False
Lincoln,https://www.fichacompleta.com.br/carros/lincoln/,False
Lobini,https://www.fichacompleta.com.br/carros/lobini/,False
Lotus,https://www.fichacompleta.com.br/carros/lotus/,False
Mahindra,https://www.fichacompleta.com.br/carros/mahindra/,False
Maserati,https://www.fichacompleta.com.br/carros/maserati/,False
Mazda,https://www.fichacompleta.com.br/carros/mazda/,False
Mclaren,https://www.fichacompleta.com.br/carros/mclaren/,False
Mercedes-benz,https://www.fichacompleta.com.br/carros/mercedes-benz/,False
Mercury,https://www.fichacompleta.com.br/carros/mercury/,False
Mg,https://www.fichacompleta.com.br/carros/mg/,False
Mini,https://www.fichacompleta.com.br/carros/mini/,False
Mitsubishi,https://www.fichacompleta.com.br/carros/mitsubishi/,False
Miura,https://www.fichacompleta.com.br/carros/miura/,False
Nissan,https://www.fichacompleta.com.br/carros/nissan/,False
Pagani,https://www.fichacompleta.com.br/carros/pagani/,False
Peugeot,https://www.fichacompleta.com.br/carros/peugeot/,False
Plymouth,https://www.fichacompleta.com.br/carros/plymouth/,False
Pontiac,https://www.fichacompleta.com.br/carros/pontiac/,False
Porsche,https://www.fichacompleta.com.br/carros/porsche/,False
Puma,https://www.fichacompleta.com.br/carros/puma/,False
Ragge,https://www.fichacompleta.com.br/carros/ragge/,False
Ram,https://www.fichacompleta.com.br/carros/ram/,False
Rely,https://www.fichacompleta.com.br/carros/rely/,False
Renault,https://www.fichacompleta.com.br/carros/renault/,False
Rolls-royce,https://www.fichacompleta.com.br/carros/rolls-royce/,True
Saab,https://www.fichacompleta.com.br/carros/saab/,False
Saleen,https://www.fichacompleta.com.br/carros/saleen/,False
Santa Matilde,https://www.fichacompleta.com.br/carros/santa-matilde/,False
Saturn,https://www.fichacompleta.com.br/carros/saturn/,False
Seat,https://www.fichacompleta.com.br/carros/seat/,False
Shineray,https://www.fichacompleta.com.br/carros/shineray/,False
Smart,https://www.fichacompleta.com.br/carros/smart/,True
Ssangyong,https://www.fichacompleta.com.br/carros/ssangyong/,False
Ssc,https://www.fichacompleta.com.br/carros/ssc/,False
Subaru,https://www.fichacompleta.com.br/carros/subaru/,False
Suzuki,https://www.fichacompleta.com.br/carros/suzuki/,False
Tac,https://www.fichacompleta.com.br/carros/tac/,True
Tesla,https://www.fichacompleta.com.br/carros/tesla/,False
Toyota,https://www.fichacompleta.com.br/carros/toyota/,False
Troller,https://www.fichacompleta.com.br/carros/troller/,False
Volkswagen,https://www.fichacompleta.com.br/carros/volkswagen/,False
Volvo,https://www.fichacompleta.com.br/carros/volvo/,False
W Motors,https://www.fichacompleta.com.br/carros/w-motors/,False
